{'colors': {'line1_color': [330, 320, 340], 'color_threshold': 40, 'max_left_color': '#00FAF0', 'max_left_hsv': [179, 245, 98], 'max_right_color': '#169C00', 'max_right_hsv': [87, 191, 61], 'min_left_color': '#009E57', 'min_left_hsv': [163, 159, 62], 'min_right_color': '#424200', 'min_right_hsv': [60, 126, 26]}, 'contour_threshold': 5000, 'groundWidth': 29, 'pins': {'button': 25, 'distance_sensor': {'ECHO1': 15, 'ECHO2': 22, 'ECHO3': 27, 'TRIG1': 14, 'TRIG2': 4, 'TRIG3': 17}, 'mode': 'BCM', 'motor': {'ENA': 0, 'IN1': 11, 'IN2': 9}, 'servo': {'pcapin': 3}}}
Is Blue: False  R: 486, G: 460, B: 468
Is Blue: False  R: 471, G: 438, B: 444
Is Blue: False  R: 471, G: 438, B: 444
Is Blue: False  R: 471, G: 438, B: 444
Is Blue: False  R: 471, G: 438, B: 444
Is Blue: False  R: 471, G: 438, B: 444
Is Blue: False  R: 460, G: 423, B: 429
Is Blue: False  R: 460, G: 423, B: 429
Is Blue: False  R: 460, G: 423, B: 429
Is Blue: False  R: 460, G: 423, B: 429
Is Blue: False  R: 449, G: 410, B: 415
Is Blue: False  R: 449, G: 410, B: 415
Is Blue: False  R: 449, G: 410, B: 415
Is Blue: False  R: 449, G: 410, B: 415
Is Blue: False  R: 449, G: 410, B: 415
Is Blue: False  R: 426, G: 383, B: 385
Is Blue: False  R: 426, G: 383, B: 385
Is Blue: False  R: 426, G: 383, B: 385
Is Blue: False  R: 426, G: 383, B: 385
Is Blue: False  R: 426, G: 383, B: 385
Is Blue: False  R: 406, G: 359, B: 358
Is Blue: False  R: 406, G: 359, B: 358
Is Blue: False  R: 406, G: 359, B: 358
Is Blue: False  R: 406, G: 359, B: 358
Is Blue: False  R: 396, G: 348, B: 348
Is Blue: False  R: 396, G: 348, B: 348
Is Blue: False  R: 396, G: 348, B: 348
Is Blue: False  R: 396, G: 348, B: 348
Is Blue: False  R: 396, G: 348, B: 348
Is Blue: False  R: 380, G: 332, B: 332
Is Blue: False  R: 380, G: 332, B: 332
Is Blue: False  R: 380, G: 332, B: 332
Is Blue: False  R: 380, G: 332, B: 332
Is Blue: False  R: 380, G: 332, B: 307
Is Blue: False  R: 353, G: 305, B: 307
Is Blue: False  R: 353, G: 305, B: 307
Is Blue: False  R: 353, G: 305, B: 307
Is Blue: False  R: 353, G: 305, B: 307
Is Blue: False  R: 304, G: 272, B: 287
Is Blue: False  R: 304, G: 272, B: 287
Is Blue: False  R: 304, G: 272, B: 287
Is Blue: False  R: 304, G: 272, B: 287
Is Blue: False  R: 304, G: 272, B: 287
Is Blue: False  R: 300, G: 265, B: 274
Is Blue: False  R: 300, G: 265, B: 274
Is Blue: False  R: 300, G: 265, B: 274
Is Blue: False  R: 300, G: 265, B: 274
Is Blue: False  R: 327, G: 277, B: 277
Is Blue: False  R: 327, G: 277, B: 277
Is Blue: False  R: 327, G: 277, B: 277
Is Blue: False  R: 327, G: 277, B: 277
Is Blue: False  R: 327, G: 277, B: 277
Is Blue: False  R: 330, G: 279, B: 277
Is Blue: False  R: 330, G: 279, B: 277
Is Blue: False  R: 330, G: 279, B: 277
Is Blue: False  R: 330, G: 279, B: 277
Is Blue: False  R: 330, G: 279, B: 277
Is Blue: False  R: 326, G: 273, B: 269
Is Blue: False  R: 326, G: 273, B: 269
Is Blue: False  R: 326, G: 273, B: 269
Is Blue: False  R: 326, G: 273, B: 269
Is Blue: False  R: 322, G: 269, B: 264
Is Blue: False  R: 322, G: 269, B: 264
Is Blue: False  R: 322, G: 269, B: 264
Is Blue: False  R: 322, G: 269, B: 264
Is Blue: False  R: 322, G: 269, B: 264
Is Blue: False  R: 317, G: 263, B: 258
Is Blue: False  R: 317, G: 263, B: 258
Is Blue: False  R: 317, G: 263, B: 258
Is Blue: False  R: 317, G: 263, B: 258
Is Blue: False  R: 317, G: 263, B: 258
Is Blue: False  R: 316, G: 263, B: 258
Is Blue: False  R: 316, G: 263, B: 258
Is Blue: False  R: 316, G: 263, B: 258
Is Blue: False  R: 316, G: 263, B: 258
Is Blue: False  R: 314, G: 261, B: 255
Is Blue: False  R: 314, G: 261, B: 255
Is Blue: False  R: 314, G: 261, B: 255
Is Blue: False  R: 314, G: 261, B: 255
Is Blue: False  R: 314, G: 261, B: 255
Is Blue: False  R: 311, G: 256, B: 247
Is Blue: False  R: 311, G: 256, B: 247
Is Blue: False  R: 311, G: 256, B: 247
Is Blue: False  R: 311, G: 256, B: 247
Is Blue: False  R: 311, G: 257, B: 250
Is Blue: False  R: 311, G: 257, B: 250
Is Blue: False  R: 311, G: 257, B: 250
Is Blue: False  R: 311, G: 257, B: 250
Is Blue: False  R: 311, G: 257, B: 250
Is Blue: False  R: 308, G: 255, B: 247
Is Blue: False  R: 308, G: 255, B: 247
Is Blue: False  R: 308, G: 255, B: 247
Is Blue: False  R: 308, G: 255, B: 247
Is Blue: False  R: 308, G: 255, B: 247
Is Blue: False  R: 308, G: 256, B: 249
Is Blue: False  R: 308, G: 256, B: 249
Is Blue: False  R: 308, G: 256, B: 249
Is Blue: False  R: 308, G: 256, B: 249
Is Blue: False  R: 310, G: 262, B: 256
Is Blue: False  R: 310, G: 262, B: 256
Is Blue: False  R: 310, G: 262, B: 256
Is Blue: False  R: 310, G: 262, B: 256
Is Blue: False  R: 310, G: 262, B: 256
Is Blue: False  R: 317, G: 272, B: 267
Is Blue: False  R: 317, G: 272, B: 267
Is Blue: False  R: 317, G: 272, B: 267
Is Blue: False  R: 317, G: 272, B: 267
Is Blue: False  R: 317, G: 272, B: 267
Is Blue: False  R: 327, G: 285, B: 282
Is Blue: False  R: 327, G: 285, B: 282
Is Blue: False  R: 327, G: 285, B: 282
Is Blue: False  R: 327, G: 285, B: 282
Is Blue: False  R: 338, G: 298, B: 295
Is Blue: False  R: 338, G: 298, B: 295
Is Blue: False  R: 338, G: 298, B: 295
Is Blue: False  R: 338, G: 298, B: 295
Is Blue: False  R: 338, G: 298, B: 295
Is Blue: True  R: 357, G: 320, B: 320
Blue!
